Party,Date,Supplier,Description,Amount,Category
Labor,01-08-2022,DESI AUSTRALIA PTY LTD,By Election Ad ½ page,420,Advertising
Labor,18-10-2022,,"Godaddy - .AU Domain Priority Rights Pre-Registration
1 Year marjorieoneill.au",9.96,Advertising
Labor,18-10-2022,,"Crazy Domains - perrottetrecord.com.au - 04/10/2022
- 04/10/2023",22.1,Advertising
Labor,18-10-2022,,"Crazy Domains: PerrottetRecord premium web
forwarding – State Campaign 04/10/2022 -
04/10/2023",28.6,Advertising
Labor,18-10-2022,,"Godaddy -.AU Domain Priority Rights Pre-Registration
1 Year dangerousdominic.au",19.91,Advertising
Labor,22-10-2022,,"Reimbursement - Camden Social Media Sept and Oct
Meta Ads",197.25,Advertising
Labor,27-10-2022,VALLEY SIGNS AND PRINTING PTY LTD,"election banner for Clarence candidate, Leon
Ankersmit",275,Advertising
Labor,01-11-2022,JEFFRIES PRINTING SERVICES,CORFLUTES - MOBILE OFFICES - Jihad Dib,55,Advertising
Labor,07-12-2022,Message Media,18/11/22 - 30/11/22 Messaging Australia,0.07,Advertising
Labor,04-12-2022,Heads News,Advertisement Dec 2022,123,Advertising
Labor,26-11-2022,THE BERRY ALLIANCE,Newspaper Advertising- In the Berry Town Crier,143,Advertising
Labor,05-12-2022,The Shannon Company Pty Ltd,"Media planning & buying fees + Media budget
November Instalment as per Billing Schedule",22000,Advertising
Labor,05-12-2022,The Shannon Company Pty Ltd,"Services Agreement Between NSW Labor and TSC as
per Creative Services Response - October",55000,Advertising
Labor,05-12-2022,The Shannon Company Pty Ltd,"Services Agreement Between NSW Labor and TSC as
per Creative Services Response - November",88000,Advertising
Labor,30-11-2022,OZ Arab Media,"CHRISTMAS Day 2022 AD Quarter Page - Nathan
Hagarty",550,Advertising
Labor,17-12-2022,Kangaroo Valley Voice,Half Page Colour Kiama Labor,185,Advertising
Labor,31-12-2022,Message Media,01/12/2022 - 31/12/2022 Messaging Australia,0.12,Advertising
Labor,31-12-2022,RADIO 2DU,Radio Advertising 28-30 Spots Dubbo,2310,Advertising
Labor,11-01-2023,INDUS AGE,Full Page Colour Advrt.- Sydney Edition Jan 2023,1100,Advertising
Labor,10-01-2023,"LITTLE, JULIA",Julia Little Reims Portrait Shots,1263.9,Advertising
Labor,10-01-2023,"LITTLE, JULIA",Julia Little Reims Advertising,581.41,Advertising
Labor,11-01-2023,CAMPBELLTOWN RADIO PTY LTD,Radio Ad Sally Quinnell Camden,2640,Advertising
Labor,13-12-2022,The Shannon Company Pty Ltd,"Services Agreement Between NSW Labor and TSC as
per Creative Services Response - December as per
schedule",165000,Advertising
Labor,13-12-2022,The Shannon Company Pty Ltd,Media Planning and Buying Fees,77000,Advertising
Labor,13-12-2022,The Shannon Company Pty Ltd,"Media Charges $100,000
oM etro TV (Seven, Nine, Ten, SBS),
oO utdoor DLF (QMS, Ooh Media)
oO utdoor Retail (Shopper Media and Branspace
Westfield",110000,Advertising
Labor,13-01-2023,The Shannon Company Pty Ltd,"Services Agreement Between NSW Labor and TSC as
per Creative Services Response January as per
Schedule",440000,Advertising
Labor,13-01-2023,The Shannon Company Pty Ltd,Media Planning and Buying Fees,77000,Advertising
Labor,13-01-2023,The Shannon Company Pty Ltd,"Media Charges $200,000
oM etro TV (Seven, Nine, Ten, SBS),
oO utdoor DLF (QMS, Ooh Media)
oO utdoor Retail (Shopper Media and Branspace
Westfield",220000,Advertising
Labor,25-01-2023,,,1.95,Advertising
Labor,25-01-2023,,,14.34,Advertising
Labor,25-01-2023,,,4.97,Advertising
Labor,25-01-2023,,,19.72,Advertising
Labor,25-01-2023,,,3.3,Advertising
Labor,24-06-2022,JEFFRIES PRINTING SERVICES,DL CARD - Progressive Voice,209,Campaign Material
Labor,30-06-2022,"HAYLEN, JOANNA",Nationbuilder charges and website charges,4794.25,Campaign Material
Labor,26-06-2022,JEFFRIES PRINTING SERVICES,"Campbelltown - COASTER, Corflutes, Magnets",3454.1,Campaign Material
Labor,18-08-2022,,Image Direction for Chris purchased and co-ordinated,300,Campaign Material
Labor,18-08-2022,,Image Direction for Chris purchased and co-ordinated,1717.56,Campaign Material
Labor,11-08-2022,JEFFRIES PRINTING SERVICES,"Blue Mountains State Campaign - Stickers - Re-Elect
Trish",440,Campaign Material
Labor,12-09-2022,JEFFRIES PRINTING SERVICES,"DL+ Cards - Sally Quinnell - State ElecVon
Camden",660,Campaign Material
Labor,29-08-2022,JEFFRIES PRINTING SERVICES,"DL+ Cards - Karem McKeown - State
Election Penrith",1817,Campaign Material
Labor,19-09-2022,CRAZY DOMAINS HOSTING,"CRAZYDOMAINSHOSTING Multiple Domain names
16/09/2022 - 16/09/2023 registered by Kirsten",173.25,Campaign Material
Labor,05-10-2022,Graphic Industries,42 Car Stickers - Mcinerney Kiama,132,Campaign Material
Labor,13-10-2022,Graphic Industries,Car Stickers - Mcinerney Kiama Qty 600,250.8,Campaign Material
Labor,25-10-2022,,"5000 pamphlets for Clarence candidate Leon
Ankersmit",327.04,Campaign Material
Labor,27-09-2022,JEFFRIES PRINTING SERVICES,"DL+ Cards - Katelin McInerney - State
Campaign for Kiama",1045,Campaign Material
Labor,02-11-2022,"SCULLY, PAUL",CORFLUTE STICKER,704,Campaign Material
Labor,27-09-2022,JEFFRIES PRINTING SERVICES,Corflutes - Anoulack Chanthivong,4400,Campaign Material
Labor,01-11-2022,JEFFRIES PRINTING SERVICES,Corflutes - South Coast Liza Buttler,165,Campaign Material
Labor,05-11-2022,,Image Direction co-ordination Yass/Goulburn,1100,Campaign Material
Labor,09-11-2022,KWIK KOPY PRINTING CENTRE,"Coreflute sign, print CMYK on 5mm coreflute",127.5,Campaign Material
Labor,15-11-2022,,"Photography: Headshots and electoral material of
candidate Michael Pilbrow - Goulburn",2018.94,Campaign Material
Labor,25-10-2022,JEFFRIES PRINTING SERVICES,100 T-Shirts - Philippa Scott 50 T-Shirts - Labor,1430,Campaign Material
Labor,25-10-2022,JEFFRIES PRINTING SERVICES,200 T-Shirts Auburn,1600.01,Campaign Material
Labor,20-11-2022,JEFFRIES PRINTING SERVICES,DL CARDS CORFLUTE STICKERS - Balmain,407,Campaign Material
Labor,22-11-2022,,Vehicle Magnets - Liza Butler,303.6,Campaign Material
Labor,25-10-2022,JEFFRIES PRINTING SERVICES,DL+ Cards - Intro - Kylie Wilkinson East Hills,851,Campaign Material
Labor,19-10-2022,JEFFRIES PRINTING SERVICES,DLX Cards - 12 months of Perrottet - 10000,1775,Campaign Material
Labor,19-11-2022,JEFFRIES PRINTING SERVICES,Artwork - DL+ Card - Marcus Rowland,275,Campaign Material
Labor,21-11-2022,JEFFRIES PRINTING SERVICES,DL+ FLYERS CORFLUTES MAPS - East Hills,561,Campaign Material
Labor,01-11-2022,VALLEY SIGNS AND PRINTING PTY LTD,Heat Transfer Labor Clarence Shirts,253,Campaign Material
Labor,27-10-2022,VALLEY SIGNS AND PRINTING PTY LTD,Vehicle Stickers - Clarence,847,Campaign Material
Labor,18-11-2022,DEERING STREET PRINTERS,Print Survey Flyers and Business Cards,288,Campaign Material
Labor,07-11-2022,GODADDY.COM,"GODADDY.COM - Land Tax multiple Domains 1 year
registrations",81.19,Campaign Material
Labor,25-11-2022,,,93.42,Campaign Material
Labor,11-11-2022,JEFFRIES PRINTING SERVICES,DL+ CARDS - INTRO CAMDEN,576,Campaign Material
Labor,11-11-2022,JEFFRIES PRINTING SERVICES,Artwork A4 2PP FLYER - SPRING FARM Camden,1331.7,Campaign Material
Labor,11-11-2022,JEFFRIES PRINTING SERVICES,Artwork A4 2PP FLYER MOUNT ANNAN Camden,1033.8,Campaign Material
Labor,30-11-2022,"SCULLY, PAUL",P Scully Reims for Campaign T Shirts,1310,Campaign Material
Labor,30-11-2022,,Clarence - Leon Ankersmit Pamphlets,510.99,Campaign Material
Labor,23-11-2022,JEFFRIES PRINTING SERVICES,DL+ Cards - Balmain,1080,Campaign Material
Labor,11-11-2022,JEFFRIES PRINTING SERVICES,DL CARDS INTRO - BALMAIN,1080,Campaign Material
Labor,15-12-2022,,"Photography: Headshots and electoral material of
candidate Michael Pilbrow - Goulburn",1430.09,Campaign Material
Labor,14-12-2022,"Hetherington, David",David Hetherington expense claim-printing,843.51,Campaign Material
Labor,14-12-2022,Printflow Central West Pty Ltd,500 x A5 Flyers - Orange,125,Campaign Material
Labor,18-12-2022,JEFFRIES PRINTING SERVICES,"CHRISTMAS CARDS CORFLUTE STICKERS - Nathan
Hagarty",2530,Campaign Material
Labor,18-12-2022,JEFFRIES PRINTING SERVICES,CORFLUTE STICKERS - LIZA BUTLER SOUTH COAST,390.01,Campaign Material
Labor,18-12-2022,JEFFRIES PRINTING SERVICES,Corflutes - Labor LIZA BUTLER SOUTH COAST,1375,Campaign Material
Labor,14-12-2022,JEFFRIES PRINTING SERVICES,T-SHIRTS CORFLUTES- KIAMA,2038,Campaign Material
Labor,23-09-2022,,Blue Mountains SC - postage stamps,481.67,Operations
Labor,08-12-2022,,Old Corflute Disposals - Gosford Campaign,220.3,Operations
Labor,14-12-2022,,,30,Operations
Labor,14-12-2022,"Hetherington, David",David Hetherington expense claim- software,647.04,Operations
Labor,03-01-2023,,,80,Operations
Labor,03-01-2023,,,30,Operations
Labor,10-01-2023,"COSTELLO, ALEX",AC Expenses Phone,79,Operations
Labor,15-01-2023,Officeworks Pty Ltd,Headsets for Leaders 14 Staff,350,Operations
Labor,18-01-2023,Officeworks Pty Ltd,Headsets for Leaders 10 Staff,250,Operations
Labor,13-01-2023,,,40,Operations
Labor,27-01-2023,,,30,Operations
Labor,17-02-2023,,,30,Operations
Labor,17-02-2023,,,30,Operations
Labor,20-02-2023,MAGENTA LINAS SOFTWARE,"Annual Hosting and Maintenance of ML Prime
Website 21/01/2023 to 20/01/2024 voteinfo.com.au",715,Operations
Labor,03-02-2023,AUSTRALIA POST,"Campbelltown post supply for period ending
31/01/2023",5853.06,Operations
Labor,24-02-2023,"Elliot, Craig",Craig Phillip Elliot Expense Claim-Tweed SC - phone,25,Operations
Labor,03-03-2023,"Dahlitz, Chris",Chris Dahlitz Expense claim,30,Operations
Labor,28-02-2023,"HAYLEN, JOANNA","Summer Hills SC - Reimbursement for stake and calbe
ties",197.4,Operations
Labor,28-02-2023,,,20,Operations
Labor,02-03-2023,,,30,Operations
Labor,01-03-2023,Aussie Broadband Limited,"NBN Unlimited Data 01 FEB 2023 - 28 FEB 2023
Monaro and Router",202.9,Operations
Labor,01-03-2023,Aussie Broadband Limited,"NBN Unlimited Data 01 MAR 2023 - 31 MAr 2023
Level 6",109,Operations
Labor,01-03-2023,Aussie Broadband Limited,"NBN Unlimited Data 01 MAR 2023 - 31 MAR 2023
Monaro",109,Operations
Labor,28-02-2023,Print Media,"Australia post charges mail out sent on PM account
Wollongong",2542.32,Operations
Labor,03-03-2023,AUSTRALIA POST,"post office service this period ending 28.02.2023
bALM",7771.84,Operations
Labor,03-03-2023,AUSTRALIA POST,post office service this period ending 28.02.2023 RIVN,6916.2,Operations
Labor,03-03-2023,AUSTRALIA POST,"post office service this period ending 28.02.2023
CAMD",5841.78,Operations
Labor,03-03-2023,AUSTRALIA POST,post office service this period ending 28.02.2023 RYDE,10772.38,Operations
Labor,03-03-2023,AUSTRALIA POST,"post office service this period ending 28.02.2023
CAMP",5852.28,Operations
Labor,03-03-2023,AUSTRALIA POST,post office service this period ending 28.02.2023 SEVE,6292.83,Operations
Labor,03-03-2023,AUSTRALIA POST,"post office service this period ending 28.02.2023
SOUT",15819.22,Operations
Labor,03-03-2023,AUSTRALIA POST,post office service this period ending 28.02.2023 EAST,5714.34,Operations
Labor,03-03-2023,AUSTRALIA POST,post office service this period ending 28.02.2023 STRA,8186.75,Operations
Labor,03-03-2023,AUSTRALIA POST,"post office service this period ending 28.02.2023
GOUL",12838.07,Operations
Labor,05-12-2022,Unknown,Organiser,2495.77,Staff
Labor,05-12-2022,Unknown,Organiser,262.06,Staff
Labor,05-12-2022,Unknown,Organiser,1892.31,Staff
Labor,05-12-2022,Unknown,Organiser,198.69,Staff
Labor,05-12-2022,Unknown,Organiser,2495.77,Staff
Labor,05-12-2022,Unknown,Organiser,262.06,Staff
Labor,05-12-2022,Unknown,Campaign Staff,1846.15,Staff
Labor,05-12-2022,Unknown,Campaign Staff,193.85,Staff
Labor,05-12-2022,Unknown,Campaign Staff,4153.84,Staff
Labor,05-12-2022,Unknown,Campaign Staff,436.15,Staff
Labor,05-12-2022,Unknown,Campaign Staff,5407.5,Staff
Labor,05-12-2022,Unknown,Campaign Staff,567.79,Staff
Labor,05-12-2022,Unknown,Digital,2852.31,Staff
Labor,05-12-2022,Unknown,Digital,299.49,Staff
Labor,16-01-2023,Unknown,Organiser,3415.04,Staff
Labor,16-01-2023,Unknown,Organiser,358.58,Staff
Labor,16-01-2023,Unknown,Organiser,2567.23,Staff
Labor,16-01-2023,Unknown,Organiser,269.56,Staff
Labor,16-01-2023,Unknown,Organiser,3356.81,Staff
Labor,16-01-2023,Unknown,Organiser,352.46,Staff
Labor,16-01-2023,Unknown,Campaign Staff,4736.54,Staff
Labor,16-01-2023,Unknown,Campaign Staff,497.34,Staff
Labor,16-01-2023,Unknown,Digital,3886.27,Staff
Labor,16-01-2023,Unknown,Digital,408.06,Staff
Labor,16-01-2023,Unknown,Campaign Staff,8537.6,Staff
Labor,16-01-2023,Unknown,Campaign Staff,896.45,Staff
Labor,16-01-2023,Unknown,Campaign Staff,4736.53,Staff
Labor,16-01-2023,Unknown,Campaign Staff,497.34,Staff
Labor,16-01-2023,Unknown,Organiser,6333.66,Staff
Labor,16-01-2023,Unknown,Organiser,665.03,Staff
Labor,16-01-2023,Unknown,Organiser,4274.99,Staff
Labor,16-01-2023,Unknown,Organiser,448.88,Staff
Labor,16-01-2023,Unknown,Organiser,6333.66,Staff
Labor,16-01-2023,Unknown,Organiser,665.03,Staff
Labor,31-01-2023,Unknown,Organiser,508.84,Staff
Labor,31-01-2023,Unknown,Organiser,4846.15,Staff
Labor,31-01-2023,Unknown,Organiser,508.84,Staff
Labor,31-01-2023,Unknown,Organiser,3500,Staff
Labor,31-01-2023,Unknown,Organiser,367.5,Staff
Labor,31-01-2023,Unknown,Organiser,4615.38,Staff
Labor,31-01-2023,Unknown,Organiser,484.62,Staff
Labor,31-01-2023,Unknown,Organiser,6872.11,Staff
Labor,31-01-2023,Unknown,Organiser,721.57,Staff
Labor,31-01-2023,Unknown,Organiser,4846.15,Staff
Labor,31-01-2023,Unknown,Organiser,508.84,Staff
Labor,31-01-2023,Unknown,Organiser,2512.82,Staff
Labor,31-01-2023,Unknown,Organiser,263.84,Staff
Labor,31-01-2023,Unknown,Organiser,4153.84,Staff
Labor,31-01-2023,Unknown,Organiser,436.16,Staff
Labor,31-01-2023,Unknown,Organisers,5407.49,Staff
Labor,31-01-2023,Unknown,Organisers,567.79,Staff
Labor,31-01-2023,Unknown,Organisers,4159.61,Staff
Labor,31-01-2023,Unknown,Organisers,436.76,Staff
Labor,31-01-2023,Unknown,Organisers,8319.22,Staff
Labor,31-01-2023,Unknown,Organisers,873.52,Staff
Labor,31-01-2023,Unknown,Organisers,7487.3,Staff
Labor,31-01-2023,Unknown,Organisers,786.17,Staff
Labor,31-01-2023,Unknown,Organisers,4159.61,Staff
Labor,13-01-2023,PIDCOCK COMMERCIAL REAL ESTATE,"Portland Pty Ltd 10 Weeks Rent 16/01/2023 to
27/03/2023",4598,Office
Labor,03-02-2023,LJ Hooker Queanbeyan,Monaro Campaign Office Rent 03/02-31/03/23,5731.94,Office
Labor,01-02-2023,Mercer Property Pty Ltd,Office Rent,1697.11,Office
Labor,01-02-2023,Mercer Property Pty Ltd,Variable Outgoings 16/01/23 - 31/01/23,87.56,Office
Labor,01-02-2023,Mercer Property Pty Ltd,Office Rent,3288.16,Office
Labor,01-02-2023,Mercer Property Pty Ltd,Variable Outgoings 16/01/23 - 31/01/23,169.64,Office
Labor,10-02-2023,The Monaro Group Pty Ltd,"Specialized Cleaning for limited initial cleaning of
premises
20 Monaro Rd Queanbeyan",1537.8,Office
Labor,15-02-2023,Mercer Property Pty Ltd,Office Rent,3288.16,Office
Labor,15-02-2023,Mercer Property Pty Ltd,Variable Outgoings,169.64,Office
Labor,22-02-2023,OZYLECTRICS PTY LTD,Electrician to fix phone banking level 6 Sussex Street,858,Office
Labor,20-02-2023,DEFT REAL ESTATE,"DEFT REAL ESTATE 112 Norton st - lease Balmain -
18/2/2023 to 01/04/2023",6861.36,Office
Labor,15-03-2023,Mercer Property Pty Ltd,Office Rent,3288.16,Office
Labor,08-03-2023,,"reimbursement for Rent - Campaign Office 50
Blaxland",3295,Office
Labor,02-04-2023,,"Parramatta SC - reimb rubbish removal
of campaign excess material",168.48,Office
Labor,27-03-2023,"SALIBA, DAVID",Fairfield SC David Saliba Reim - Shop Rental,330.1,Office
Labor,21-03-2023,"SAFFIN, JANELLE","Lismore SC Janelle Saffin Reimbursement 2 weeks
office rent",500.01,Office
Labor,04-03-2023,SAVAA PTY LTD,"Lease out of shop 1 & 2 of 6/163, Prospect Highway,
Seven Hills, NSW
2147-Riverstone SC",1500,Office
Labor,04-03-2023,SAVAA PTY LTD,"Lease out of shop 1 & 2 of 6/163, Prospect Highway-
Winston Hills",1500,Office
Labor,20-07-2022,,,3040,Travel
Labor,11-01-2023,,,323.98,Travel
Labor,01-02-2023,,,181.21,Travel
Labor,01-02-2023,,,12,Travel
Labor,15-01-2023,,T,464.21,Travel
Labor,07-02-2023,"MOONEY, BLAKE","B Mooney Exps - trip to Goulburn, accomodation",149.6,Travel
Labor,07-02-2023,"MOONEY, BLAKE","B Mooney Exps - trip to Goulburn, travel",29.7,Travel
Labor,07-02-2023,,Ex,42.14,Travel
Labor,09-02-2023,"CAMPESE, TERRY",T Campese Fuel Expenses,170.74,Travel
Labor,16-02-2023,"Ankersmit, Leon",Airfare - Travel Ballina to Sydney,302.5,Travel
Labor,16-02-2023,"Ankersmit, Leon",Uber (trains were not running on 10 December),52.17,Travel
Labor,16-02-2023,"Ankersmit, Leon",Parking at Ballina airport - $20.20,20.1,Travel
Labor,16-02-2023,,,67.53,Travel
Labor,16-02-2023,,,271.5,Travel
Labor,20-02-2023,"Chanthivong, Anoulack",Chanthivong Reims for Macquarie Fields - Van Hire,225.4,Travel
Labor,20-02-2023,"Chanthivong, Anoulack","Chanthivong Reims for Macquarie Fields - Petrol,",80.38,Travel
Labor,21-02-2023,QI PENRITH,QI PENRITH,625,Travel
Labor,03-02-2023,UBER,"UBER *TRIP Sydney AUS; general event
related travel",12.83,Travel
Labor,06-02-2023,UBER,"UBER *TRIP Sydney AUS; general event
related travel",14.96,Travel
Labor,08-02-2023,UBER,"UBER *TRIP Sydney AUS; general event
related travel",10.58,Travel
Labor,13-02-2023,UBER,"UBER *TRIP Sydney AUS; general event
related travel",24.33,Travel
Labor,17-02-2023,UBER,"UBER *TRIP Sydney AUS; general event
related travel",15.52,Travel
Labor,17-02-2023,UBER,"UBER *TRIP Sydney AUS; general event
related travel",28.53,Travel
Labor,21-02-2023,UBER,"UBER *TRIP Sydney AUS; general event
related travel",23.03,Travel
Labor,21-02-2023,UBER,"UBER *TRIP Sydney AUS; general event
related travel",14.87,Travel
Labor,24-02-2023,UBER,"UBER *TRIP Sydney AUS; general event
related travel",38.63,Travel
Labor,24-02-2023,UBER,"UBER *TRIP Sydney AUS; general event
related travel",13.9,Travel
Labor,24-02-2023,QueanbeyanMotel,RMS*QueanbeyanMotel 0383999462 VIC,135,Travel
Labor,24-02-2023,,,121.72,Travel
Labor,27-02-2023,,"Blue Mts Exps Trailer Rego 20/02/2023 to
18/02/2024",70.31,Travel
Labor,02-03-2023,,,122.99,Travel
Labor,03-03-2023,"Dahlitz, Chris",Chris Dahlitz Expense Claim,80.2,Travel
Labor,03-03-2023,"Dahlitz, Chris",Chris Dahlitz Expense Claim,140,Travel
Labor,02-03-2023,,,458.98,Travel
Labor,02-03-2023,,,327.43,Travel
Labor,02-03-2023,"RANKINE, LIAM",Liam Rankine Reim - accomodation Tyler,175,Travel
Labor,02-03-2023,"MOONEY, BLAKE",Blake Mooney Yass petrol,36.96,Travel
Labor,02-03-2023,"MOONEY, BLAKE",Blake Mooney Yass accomodation,190.99,Travel
Labor,28-02-2023,,Ex,386.9,Travel
Labor,13-03-2023,,reimbursement for Petrol,536.82,Travel
Labor,13-03-2023,,reimbursement for Parking,49.98,Travel
Labor,08-03-2023,,"reimbursement for accommodation-in Cobar while I
was travelling around the electorate.",165,Travel
Labor,20-07-2022,BANNERTYNE HOUSE,Project Beta – 4 groups - research. Focus groups,22000,Research
Labor,22-07-2022,The Red Fox Group Pty Ltd,"Fees and Charges in relation to engagement letter
dated 07/07/2022 in relation to: Electoral analysis of
the state seat of Swansea.",1650,Research
Labor,03-08-2022,COMMUNITY ENGAGEMENT LIMITED,NSW CMIX Online Messaging Panel,9000,Research
Labor,26-07-2022,UTTING RESEARCH,"QUANTITATIVE RESEARCH
NSW Benchmark Study",33000,Research
Labor,10-10-2022,BANNERTYNE HOUSE,Project theta – 4 groups.,22000,Research
Labor,31-10-2022,BANNERTYNE HOUSE,Project Theta South Coast – 2 groups,10560,Research
Labor,02-11-2022,BANNERTYNE HOUSE,"Project Phoenix Stage 1 - First 9 Tranches of groups
50% costs Stage 1",43450,Research
Labor,05-12-2022,UTTING RESEARCH,"Survey - South Western Sydney incorporating the
LegislaVve Assembly
districts of Camden.",8030,Research
Labor,05-12-2022,UTTING RESEARCH,"Survey - Western Sydney incorporating the Legislative
Assembly seats of Riverstone.",8030,Research
Labor,05-12-2022,UTTING RESEARCH,"Survey - South Western Sydney incorporating the
Legislative Assembly districts of Leppington",8030,Research
Labor,05-12-2022,UTTING RESEARCH,"Survey - Western Sydney incorporating the Legislative
Assembly seats of Winston Hills",8030,Research
Labor,13-12-2022,YOUGOV GALAXY,State Seat Polls 2022,49500,Research
Labor,19-12-2022,BANNERTYNE HOUSE,Project Phoenix Stage 1 - First 9 Tranches of groups,43450,Research
Labor,07-02-2023,BANNERTYNE HOUSE,"Project Phoenix Stage 2 - 2nd round of 9 Tranches of
groups",43450,Research
Labor,06-02-2023,UTTING RESEARCH,QUANTITATIVE RESEARCH Monaro February 2023,16060,Research
Labor,06-02-2023,UTTING RESEARCH,QUANTITATIVE RESEARCH Balmain February 2023,16060,Research
Labor,06-02-2023,UTTING RESEARCH,QUANTITATIVE RESEARCH Oatley February 2023,16060,Research
Labor,13-02-2023,UTTING RESEARCH,"QUANTITATIVE RESEARCH DRUMMOYNE February
2023",16060,Research
Labor,13-02-2023,UTTING RESEARCH,QUANTITATIVE RESEARCH GOULBURN February 2023,16060,Research
Labor,13-02-2023,UTTING RESEARCH,"QUANTITATIVE RESEARCH OATLEY February 2023 6th-
9th Feb2023",16060,Research
Labor,17-02-2023,UTTING RESEARCH,QUANTITATIVE RESEARCH KIAMA 13th-15th Feb2023,16060,Research
Labor,22-02-2023,BANNERTYNE HOUSE,"Project Phoenix Stage 2 - 2nd round of 9 Tranches of
groups Final Costs",43450,Research
Labor,23-02-2023,UTTING RESEARCH,QUANTITATIVE RESEARCH Lismore and Coogee,32120,Research
Labor,23-02-2023,UTTING RESEARCH,QUANTITATIVE RESEARCH SHARBOUR + TWEED,32120,Research
Labor,07-02-2023,QUEENSLAND GOVT,QUEENSLAND GOVT 2 Research,500.01,Research
Labor,17-02-2023,UTTING RESEARCH,QUANTITATIVE RESEARCH THE ENTRANCE,16060,Research
Labor,17-02-2023,UTTING RESEARCH,QUANTITATIVE RESEARCH NEWCASTLE,16060,Research
Labor,21-03-2023,BANNERTYNE HOUSE,"Project Phoenix Stage 3 - 3rd round of 7 Tranches of
groups",71500,Research
Labor,23-03-2023,,"Viewing of AGL, Santos BHP and RIO Registers -ALP SC",147.5,Research
Labor,01-03-2023,QUEENSLAND GOVT,QUEENSLAND GOVT 2 BRISBANE,500.01,Research
Labor,02-03-2023,Court Data Australia,Court Data Australia 0734203333 QLD,42.9,Research
Labor,02-07-2022,Commonwealth Bank,"CBA MERCHANT FEE Value Date:
30/06/2022",49.5,Fundraising
Labor,30-06-2022,,Expense Claim for the period June 2022,94.19,Fundraising
Labor,30-06-2022,"HAYLEN, JOANNA","Invoice INV-3445 from t
for Jo Haylen Campaign",540,Fundraising
Labor,01-07-2022,Stripe,Stripe fee for Summer Hills SC,68.43,Fundraising
Labor,01-07-2022,Nationbuilder,NB fee,127.14,Fundraising
Labor,01-07-2022,Nationbuilder,NB fee,12.9,Fundraising
Labor,01-07-2022,Nationbuilder,NB fee,21.9,Fundraising
Labor,01-07-2022,Nationbuilder,NB fee,9.3,Fundraising
Labor,01-07-2022,Nationbuilder,NB fee,181.35,Fundraising
Labor,05-07-2022,Nationbuilder,NB fee,3.3,Fundraising
Labor,05-07-2022,Nationbuilder,NB fee,21.9,Fundraising
Labor,06-07-2022,Nationbuilder,NB fee,1.68,Fundraising
Labor,06-07-2022,Nationbuilder,NB fee,2.4,Fundraising
Labor,06-07-2022,Nationbuilder,NB fee,0.75,Fundraising
Labor,07-07-2022,Nationbuilder,NB fee,0.75,Fundraising
Labor,07-07-2022,Nationbuilder,NB fee,1.02,Fundraising
Labor,12-07-2022,Nationbuilder,NB fee,0.75,Fundraising
Labor,13-07-2022,Nationbuilder,NB fee,11.56,Fundraising
Labor,13-07-2022,Nationbuilder,NB fee,2.04,Fundraising
Labor,14-07-2022,Nationbuilder,NB fee,2.46,Fundraising
Labor,14-07-2022,Nationbuilder,NB fee,0.75,Fundraising
Labor,02-07-2022,Nationbuilder,NB fee,111.91,Fundraising
Labor,02-07-2022,Nationbuilder,NB fee,17.4,Fundraising
Labor,02-07-2022,Nationbuilder,NB fee,45.3,Fundraising
Labor,02-07-2022,Nationbuilder,NB fee,2.1,Fundraising
Labor,04-07-2022,Nationbuilder,NB fee for AR024521 as it transfer to SC account,9.3,Fundraising
Labor,15-07-2022,Nationbuilder,NB fee,0.75,Fundraising
Labor,18-07-2022,Nationbuilder,NB fee,2.37,Fundraising
Labor,18-07-2022,Nationbuilder,NB fee,17.8,Fundraising
Labor,20-07-2022,Nationbuilder,NB fee,5.1,Fundraising
Labor,20-07-2022,Nationbuilder,NB fee,2.05,Fundraising
Labor,20-07-2022,Nationbuilder,NB fee,0.65,Fundraising
Labor,21-07-2022,Nationbuilder,NB fee,1.61,Fundraising
Labor,21-07-2022,Nationbuilder,NB fee,2.53,Fundraising
Labor,22-07-2022,Nationbuilder,NB fee,2.4,Fundraising
Labor,25-07-2022,Nationbuilder,NB fee,11.86,Fundraising
Labor,25-07-2022,Nationbuilder,NB fee,4.68,Fundraising
Labor,25-07-2022,Nationbuilder,NB fee,1.18,Fundraising
Labor,26-07-2022,Nationbuilder,NB fee,0.48,Fundraising
Labor,27-07-2022,Nationbuilder,NB fee,1.52,Fundraising
Labor,27-07-2022,Nationbuilder,NB fee,17.18,Fundraising
Labor,28-07-2022,Nationbuilder,NB fee,1.46,Fundraising
Labor,29-07-2022,Nationbuilder,NB fee,1.83,Fundraising
Labor,02-08-2022,Nationbuilder,NB fee,0.96,Fundraising
Labor,02-08-2022,Nationbuilder,NB fee,4.58,Fundraising
Labor,02-08-2022,Nationbuilder,NB fee,1.18,Fundraising
Labor,02-08-2022,Nationbuilder,NB fee,1.18,Fundraising
Labor,04-08-2022,Nationbuilder,NB fee,1.18,Fundraising
Labor,05-08-2022,Nationbuilder,NB fee,4.68,Fundraising
Labor,08-08-2022,Nationbuilder,NB fee,0.87,Fundraising
Labor,08-08-2022,Nationbuilder,NB fee,0.74,Fundraising
Labor,08-08-2022,Nationbuilder,NB fee,0.74,Fundraising
Labor,02-08-2022,Commonwealth Bank,CBA MERCHANT FEE,49.5,Fundraising
